name,club,club_rank,age,height,foot,position,nationality,league,league_rank,contract_expires,matches_played,goals,assists,is_international,international_caps,international_goals,trophies,minutes_played,minutes_per_goals,market_value
Bernardo Silva,Man City,1,29,1.73,left,Attacking Midfield,Portugal,Premier League,1,2026,543,101,92,TRUE,93,12,22,38377,380,70000000
Kevin De Bruyne,Man City,1,33,1.81,right,Attacking Midfield,Belgium,Premier League,1,2025,611,149,254,TRUE,105,28,31,46262,310,50000000
Jérémy Doku,Man City,1,22,1.73,right,Left Winger,Belgium,Premier League,1,2028,176,24,28,TRUE,26,2,2,9970,415,65000000
Jack Grealish,Man City,1,28,1.8,right,Left Winger,England,Premier League,1,2027,420,57,75,TRUE,36,2,7,29669,521,60000000
Phil Foden,Man City,1,24,1.71,left,Right Winger,England,Premier League,1,2027,312,108,66,TRUE,41,4,19,20186,187,150000000
Savinho,Man City,1,20,1.76,left,Right Winger,Brazil,Premier League,1,2029,95,15,14,TRUE,7,1,5,5100,340,50000000
Oscar Bobb,Man City,1,21,1.75,left,Right Winger,Norway,Premier League,1,2029,140,33,35,TRUE,8,2,8,9869,299,25000000
Erling Haaland,Man City,1,24,1.95,left,Centre-Forward,Norway,Premier League,1,2027,281,225,51,TRUE,33,31,26,19806,88,180000000
Julián Álvarez,Man City,1,24,1.7,right,Centre-Forward,Argentina,Premier League,1,2028,225,90,49,TRUE,36,9,18,13930,155,90000000
Martin Ødegaard,Arsenal,4,25,1.78,left,Attacking Midfield,Norway,Premier League,1,2028,369,66,67,TRUE,59,3,4,27738,420,110000000
Kai Havertz,Arsenal,4,25,1.93,left,Attacking Midfield,Germany,Premier League,1,2028,405,120,54,TRUE,51,18,7,29725,248,70000000
Emile Smith Rowe,Arsenal,4,24,1.82,right,Attacking Midfield,England,Premier League,1,2026,192,41,24,TRUE,3,1,5,11270,275,22000000
Fábio Vieira,Arsenal,4,24,1.7,left,Attacking Midfield,Portugal,Premier League,1,2027,167,27,33,TRUE,25,14,5,8051,298,22000000
Gabriel Martinelli,Arsenal,4,23,1.78,right,Left Winger,Brazil,Premier League,1,2027,192,47,26,TRUE,13,2,3,11838,252,70000000
Leandro Trossard,Arsenal,4,29,1.72,right,Left Winger,Belgium,Premier League,1,2026,413,119,55,TRUE,37,9,3,28047,236,35000000
Bukayo Saka,Arsenal,4,22,1.78,left,Right Winger,England,Premier League,1,2027,279,80,70,TRUE,40,12,3,20882,261,140000000
Reiss Nelson,Arsenal,4,24,1.75,right,Right Winger,England,Premier League,1,2027,218,44,29,TRUE,12,6,4,11099,252,15000000
Gabriel Jesus,Arsenal,4,27,1.75,right,Centre-Forward,Brazil,Premier League,1,2027,388,143,67,TRUE,64,19,16,24286,170,65000000
Eddie Nketiah,Arsenal,4,25,1.75,right,Centre-Forward,England,Premier League,1,2027,247,89,19,TRUE,1,0,5,12016,135,30000000
Cole Palmer,Chelsea,21,22,1.89,left,Attacking Midfield,England,Premier League,1,2030,150,73,36,TRUE,9,2,11,9881,135,80000000
Christopher Nkunku,Chelsea,21,26,1.77,right,Attacking Midfield,France,Premier League,1,2029,308,98,66,TRUE,10,0,15,19898,203,65000000
Omari Kellyman,Chelsea,21,18,1.91,left,Attacking Midfield,England,Premier League,1,2030,56,14,8,TRUE,0,0,0,2961,212,1000000
Raheem Sterling,Chelsea,21,29,1.7,right,Left Winger,England,Premier League,1,2027,571,181,113,TRUE,82,20,13,41629,230,35000000
Mykhaylo Mudryk,Chelsea,21,23,1.75,right,Left Winger,Ukraine,Premier League,1,2031,135,19,23,TRUE,23,2,3,7133,375,35000000
Diego Moreira,Chelsea,21,19,1.79,left,Left Winger,Portugal,Premier League,1,2028,83,15,11,TRUE,4,0,2,4139,276,3000000
Noni Madueke,Chelsea,21,22,1.82,left,Right Winger,England,Premier League,1,2030,171,47,30,TRUE,20,7,3,9179,195,28000000
Ângelo,Chelsea,21,19,1.8,left,Right Winger,Brazil,Premier League,1,2029,154,5,14,TRUE,3,0,0,7302,1460,15000000
Nicolas Jackson,Chelsea,21,23,1.88,right,Centre-Forward,Senegal,Premier League,1,2031,136,38,21,TRUE,14,0,0,8894,234,35000000
Lukaku,Chelsea,21,31,1.91,left,Centre-Forward,Belgium,Premier League,1,2026,647,309,90,TRUE,119,85,14,47783,155,30000000
Armando Broja,Chelsea,21,22,1.91,right,Centre-Forward,Albania,Premier League,1,2028,171,44,10,TRUE,23,5,1,8951,203,22000000
Datro Fofana,Chelsea,21,21,1.8,right,Centre-Forward,Cote d'Ivoire,Premier League,1,2029,103,31,12,TRUE,3,0,2,5547,179,12000000
Deivid Washington,Chelsea,21,19,1.87,right,Centre-Forward,Brazil,Premier League,1,2030,43,14,0,FALSE,0,0,0,2578,184,9000000
Marc Guiu,Chelsea,21,18,1.87,right,Centre-Forward,Spain,Premier League,1,2029,32,10,4,TRUE,3,0,2,1370,137,7500000
Fábio Carvalho,Liverpool,6,21,1.7,right,Attacking Midfield,Portugal,Premier League,1,2027,183,57,29,TRUE,4,2,3,12489,219,14000000
Luis Díaz,Liverpool,6,27,1.8,right,Left Winger,Colombia,Premier League,1,2027,371,88,42,TRUE,55,14,14,24079,274,75000000
Cody Gakpo,Liverpool,6,25,1.93,right,Left Winger,Netherlands,Premier League,1,2028,299,105,70,TRUE,30,13,7,19796,189,55000000
Diogo Jota,Liverpool,6,27,1.78,right,Left Winger,Portugal,Premier League,1,2027,360,125,58,TRUE,42,14,5,23570,189,50000000
Mohamed Salah,Liverpool,6,32,1.75,left,Right Winger,Egypt,Premier League,1,2025,600,288,141,TRUE,96,54,23,45423,158,55000000
Ben Doak,Liverpool,6,18,1.73,right,Right Winger,Scotland,Premier League,1,2030,41,11,8,TRUE,7,2,2,2464,224,10000000
Darwin Núñez,Liverpool,6,25,1.87,right,Centre-Forward,Uruguay,Premier League,1,2028,235,101,37,TRUE,29,13,7,14803,147,70000000
Bruno Fernandes,Man Utd,33,29,1.79,right,Attacking Midfield,Portugal,Premier League,1,2026,534,167,134,TRUE,71,23,12,41658,249,70000000
Mason Mount,Man Utd,33,25,1.81,right,Attacking Midfield,England,Premier League,1,2028,344,66,61,TRUE,36,5,7,24963,378,35000000
Hannibal,Man Utd,33,21,1.83,right,Attacking Midfield,Tunisia,Premier League,1,2025,118,9,26,TRUE,27,0,0,7270,808,9000000
Marcus Rashford,Man Utd,33,26,1.85,right,Left Winger,England,Premier League,1,2028,416,136,66,TRUE,60,17,11,27872,205,60000000
Alejandro Garnacho,Man Utd,33,20,1.8,right,Left Winger,Argentina,Premier League,1,2028,140,38,20,TRUE,6,0,4,8097,213,45000000
Jadon Sancho,Man Utd,33,24,1.8,right,Left Winger,England,Premier League,1,2026,284,89,84,TRUE,23,3,5,19716,222,30000000
Antony,Man Utd,33,24,1.72,left,Right Winger,Brazil,Premier League,1,2027,216,41,33,TRUE,16,2,7,14679,358,25000000
Amad Diallo,Man Utd,33,22,1.73,left,Right Winger,Cote d'Ivoire,Premier League,1,2025,180,64,34,TRUE,4,1,5,11446,179,18000000
Facundo Pellistri,Man Utd,33,22,1.75,right,Right Winger,Uruguay,Premier League,1,2025,120,7,9,TRUE,26,2,1,6264,895,10000000
Rasmus Højlund,Man Utd,33,21,1.91,left,Centre-Forward,Denmark,Premier League,1,2028,159,60,14,TRUE,18,7,3,9919,165,65000000
Joshua Zirkzee,Man Utd,33,23,1.93,right,Centre-Forward,Netherlands,Premier League,1,2029,213,83,49,TRUE,2,0,10,13365,161,50000000
James Maddison,Tottenham,37,27,1.75,right,Attacking Midfield,England,Premier League,1,2028,346,83,74,TRUE,7,0,2,24663,297,70000000
Alfie Devine,Tottenham,37,20,1.82,right,Attacking Midfield,England,Premier League,1,2027,116,25,13,TRUE,13,2,1,8513,341,2200000
Heung-min Son,Tottenham,37,32,1.84,right,Left Winger,"Korea, South",Premier League,1,2025,606,227,98,TRUE,127,48,13,42727,188,45000000
Manor Solomon,Tottenham,37,25,1.7,right,Left Winger,Israel,Premier League,1,2028,209,35,17,TRUE,37,7,4,11481,328,13000000
Dejan Kulusevski,Tottenham,37,24,1.86,left,Right Winger,Sweden,Premier League,1,2028,293,68,64,TRUE,39,3,3,20090,295,55000000
Brennan Johnson,Tottenham,37,23,1.86,right,Right Winger,Wales,Premier League,1,2028,196,52,36,TRUE,30,3,0,15230,293,48000000
Richarlison,Tottenham,37,27,1.84,right,Centre-Forward,Brazil,Premier League,1,2027,350,101,36,TRUE,48,20,3,25162,249,38000000
Timo Werner,Tottenham,37,28,1.8,right,Centre-Forward,Germany,Premier League,1,2025,482,210,90,TRUE,57,24,9,33352,159,17000000
Alejo Véliz,Tottenham,37,20,1.86,right,Centre-Forward,Argentina,Premier League,1,2029,79,21,2,TRUE,9,3,0,4568,218,9000000
Joe White,Newcastle,25,21,1.86,left,Attacking Midfield,England,Premier League,1,2025,137,16,21,TRUE,3,0,0,9021,564,300000
